State_Name,District_Name,Season,Crop,PPA
Andaman and Nicobar Islands,NICOBARS,Autumn     ,Sugarcane,3.115671642
Andaman and Nicobar Islands,NICOBARS,Kharif     ,Rice,3.056114529
Andaman and Nicobar Islands,NICOBARS,Rabi       ,Urad,9.454545455
Andaman and Nicobar Islands,NICOBARS,Whole Year ,other oilseeds,3775.6322
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Autumn     ,Sugarcane,12.12600573
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif     ,Rice,2.836371452
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi       ,Urad,9.198545455
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year ,other oilseeds,3696.92291
Andaman and Nicobar Islands,SOUTH ANDAMANS,Autumn     ,Sugarcane,5.955555556
Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif     ,Rice,2.868357312
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Urad,10.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,other oilseeds,3889.255311
Andhra Pradesh,ANANTAPUR,Kharif     ,other oilseeds,92.95834181
Andhra Pradesh,ANANTAPUR,Rabi       ,Wheat,22.15340884
Andhra Pradesh,ANANTAPUR,Whole Year ,other fibres,6382.612163
Andhra Pradesh,CHITTOOR,Kharif     ,other oilseeds,88.12043278
Andhra Pradesh,CHITTOOR,Rabi       ,other oilseeds,23.08967761
Andhra Pradesh,CHITTOOR,Whole Year ,Turmeric,6366.240662
Andhra Pradesh,EAST GODAVARI,Kharif     ,other oilseeds,95.18544469
Andhra Pradesh,EAST GODAVARI,Rabi       ,other oilseeds,19.15204034
Andhra Pradesh,EAST GODAVARI,Whole Year ,Turmeric,12849.13467
Andhra Pradesh,GUNTUR,Kharif     ,other oilseeds,95.18520547
Andhra Pradesh,GUNTUR,Rabi       ,other oilseeds,19.13767447
Andhra Pradesh,GUNTUR,Whole Year ,other fibres,12931.20712
Andhra Pradesh,KADAPA,Kharif     ,other oilseeds,95.19490327
Andhra Pradesh,KADAPA,Rabi       ,other oilseeds,107.7757003
Andhra Pradesh,KADAPA,Whole Year ,Wheat,6377.252092
Andhra Pradesh,KRISHNA,Kharif     ,other oilseeds,95.18825758
Andhra Pradesh,KRISHNA,Rabi       ,other oilseeds,17.00751658
Andhra Pradesh,KRISHNA,Whole Year ,Turmeric,12919.68179
Andhra Pradesh,KURNOOL,Kharif     ,other oilseeds,104.3092494
Andhra Pradesh,KURNOOL,Rabi       ,other oilseeds,78.8
Andhra Pradesh,KURNOOL,Whole Year ,Wheat,6359.467459
Andhra Pradesh,PRAKASAM,Kharif     ,other oilseeds,111.5409645
Andhra Pradesh,PRAKASAM,Rabi       ,other oilseeds,19.14309893
Andhra Pradesh,PRAKASAM,Whole Year ,Turmeric,12899.72384
Andhra Pradesh,SPSR NELLORE,Kharif     ,other oilseeds,94.83619026
Andhra Pradesh,SPSR NELLORE,Rabi       ,other oilseeds,16.43492063
Andhra Pradesh,SPSR NELLORE,Whole Year ,Turmeric,12919.62249
Andhra Pradesh,SRIKAKULAM,Kharif     ,other oilseeds,95.18257081
Andhra Pradesh,SRIKAKULAM,Rabi       ,other oilseeds,16.76747996
Andhra Pradesh,SRIKAKULAM,Whole Year ,Turmeric,11622.35526
Andhra Pradesh,VISAKHAPATANAM,Kharif     ,other oilseeds,95.186692
Andhra Pradesh,VISAKHAPATANAM,Rabi       ,other oilseeds,17.2962963
Andhra Pradesh,VISAKHAPATANAM,Whole Year ,Turmeric,10666.5589
Andhra Pradesh,VIZIANAGARAM,Kharif     ,other oilseeds,103.167243
Andhra Pradesh,VIZIANAGARAM,Rabi       ,other oilseeds,102.6692913
Andhra Pradesh,VIZIANAGARAM,Whole Year ,Turmeric,11683.05285
Andhra Pradesh,WEST GODAVARI,Kharif     ,other oilseeds,95.19290409
Andhra Pradesh,WEST GODAVARI,Rabi       ,other oilseeds,22.625
Andhra Pradesh,WEST GODAVARI,Whole Year ,Turmeric,14986.20511
Arunachal Pradesh,ANJAW,Kharif     ,Small millets,1.255865627
Arunachal Pradesh,ANJAW,Rabi       ,Wheat,1.706856523
Arunachal Pradesh,ANJAW,Whole Year ,Turmeric,8.82199411
Arunachal Pradesh,CHANGLANG,Kharif     ,Sunflower,1.672322937
Arunachal Pradesh,CHANGLANG,Rabi       ,Wheat,20.41304348
Arunachal Pradesh,CHANGLANG,Whole Year ,Turmeric,10.81851377
Arunachal Pradesh,DIBANG VALLEY,Kharif     ,Sunflower,2.125862069
Arunachal Pradesh,DIBANG VALLEY,Rabi       ,Wheat,1.741802125
Arunachal Pradesh,DIBANG VALLEY,Whole Year ,Turmeric,15.84
Arunachal Pradesh,EAST KAMENG,Kharif     ,Sunflower,2.175662879
Arunachal Pradesh,EAST KAMENG,Rabi       ,Wheat,2.084125709
Arunachal Pradesh,EAST KAMENG,Whole Year ,Turmeric,10.69652174
Arunachal Pradesh,EAST SIANG,Kharif     ,Sunflower,2.034757667
Arunachal Pradesh,EAST SIANG,Rabi       ,Wheat,41.79661017
Arunachal Pradesh,EAST SIANG,Whole Year ,Turmeric,35.97404546
Arunachal Pradesh,KURUNG KUMEY,Kharif     ,Small millets,1.40522195
Arunachal Pradesh,KURUNG KUMEY,Rabi       ,Wheat,1.066666667
Arunachal Pradesh,KURUNG KUMEY,Whole Year ,Turmeric,18.07384271
Arunachal Pradesh,LOHIT,Kharif     ,Sunflower,2.020387701
Arunachal Pradesh,LOHIT,Rabi       ,Wheat,7
Arunachal Pradesh,LOHIT,Whole Year ,Turmeric,8.922879661
Arunachal Pradesh,LONGDING,Kharif     ,Small millets,2.368322167
Arunachal Pradesh,LONGDING,Whole Year ,Potato,7.042687075
Arunachal Pradesh,LOWER DIBANG VALLEY,Kharif     ,Small millets,1.432262223
Arunachal Pradesh,LOWER DIBANG VALLEY,Rabi       ,Wheat,1.548172599
Arunachal Pradesh,LOWER DIBANG VALLEY,Whole Year ,Turmeric,12.01145411
Arunachal Pradesh,LOWER SUBANSIRI,Kharif     ,Sunflower,1.6627209
Arunachal Pradesh,LOWER SUBANSIRI,Rabi       ,Wheat,37.33333333
Arunachal Pradesh,LOWER SUBANSIRI,Whole Year ,Turmeric,17.6702029
Arunachal Pradesh,NAMSAI,Whole Year ,Potato,6.672268908
Arunachal Pradesh,PAPUM PARE,Kharif     ,Sunflower,1.642838321
Arunachal Pradesh,PAPUM PARE,Rabi       ,Wheat,10.26315789
Arunachal Pradesh,PAPUM PARE,Whole Year ,Turmeric,17.08307118
Arunachal Pradesh,TAWANG,Kharif     ,Sunflower,2.01911357
Arunachal Pradesh,TAWANG,Rabi       ,Wheat,1.501857124
Arunachal Pradesh,TAWANG,Whole Year ,Turmeric,7.386780998
Arunachal Pradesh,TIRAP,Kharif     ,Sunflower,1.311061036
Arunachal Pradesh,TIRAP,Rabi       ,Wheat,10
Arunachal Pradesh,TIRAP,Whole Year ,Turmeric,13.02485094
Arunachal Pradesh,UPPER SIANG,Kharif     ,Sunflower,1.493534414
Arunachal Pradesh,UPPER SIANG,Rabi       ,Wheat,6.52173913
Arunachal Pradesh,UPPER SIANG,Whole Year ,Sugarcane,10.2052443
Arunachal Pradesh,UPPER SUBANSIRI,Kharif     ,Sunflower,2.36156666
Arunachal Pradesh,UPPER SUBANSIRI,Rabi       ,Wheat,27.1641791
Arunachal Pradesh,UPPER SUBANSIRI,Whole Year ,Turmeric,22.50362539
Arunachal Pradesh,WEST KAMENG,Kharif     ,Sunflower,2.04
Arunachal Pradesh,WEST KAMENG,Rabi       ,Wheat,1.152510843
Arunachal Pradesh,WEST KAMENG,Whole Year ,Pulses total,7.89885392
Arunachal Pradesh,WEST SIANG,Kharif     ,Sunflower,1.2203452
Arunachal Pradesh,WEST SIANG,Rabi       ,Wheat,26.73493976
Arunachal Pradesh,WEST SIANG,Whole Year ,Turmeric,26.21460581
Assam,BAKSA,Autumn     ,Rice,1.532116567
Assam,BAKSA,Kharif     ,Tobacco,19.66002633
Assam,BAKSA,Rabi       ,Wheat,17.11775032
Assam,BAKSA,Summer     ,Rice,2.170699454
